id,date,competition,home,away,result,minute,score,what,how,jersey
103,2009-11-10,CUP,FC Barcelona,Cultural Leonesa,5-0,64,4-0,,Left foot,10
104,2009-11-14,FRN,Spain,Argentina,2-1,61,1-1,Penalty,Left foot,10
105,2009-12-05,PRM,Deportivo La Coruña,FC Barcelona,1-3,27,0-1,,Left foot,10
106,2009-12-05,PRM,Deportivo La Coruña,FC Barcelona,1-3,80,1-2,,Head,10
107,2009-12-09,EUR,Dynamo Kyiv,FC Barcelona,1-2,86,1-2,Free kick,Left foot,10
108,2009-12-16,WCT,Atlante,FC Barcelona,1-3,55,1-2,,Left foot,10
109,2009-12-19,WCT,Estudiantes La Plata,FC Barcelona,1-2,110,1-2,,Chest,10
110,2010-01-10,PRM,Tenerife,FC Barcelona,0-5,36,0-1,,Left foot,10
111,2010-01-10,PRM,Tenerife,FC Barcelona,0-5,45,0-3,,Right foot,10
112,2010-01-10,PRM,Tenerife,FC Barcelona,0-5,75,0-4,,Left foot,10
113,2010-01-16,PRM,FC Barcelona,Sevilla,4-0,85,3-0,,Left foot,10
114,2010-01-16,PRM,FC Barcelona,Sevilla,4-0,90+1,4-0,,Left foot,10
115,2010-01-23,PRM,Real Valladolid,FC Barcelona,0-3,56,0-3,,Left foot,10
116,2010-02-06,PRM,FC Barcelona,Getafe,2-1,7,1-0,,Left foot,10
117,2010-02-27,PRM,FC Barcelona,Málaga,2-1,84,2-1,Field goal,Right foot,10
118,2010-03-06,PRM,UD Almería,FC Barcelona,2-2,42,1-1,Free kick,Left foot,10
119,2010-03-06,PRM,UD Almería,FC Barcelona,2-2,66,2-2,,Left foot,10
120,2010-03-14,PRM,FC Barcelona,Valencia,3-0,56,1-0,,Left foot,10
121,2010-03-14,PRM,FC Barcelona,Valencia,3-0,81,2-0,,Left foot,10
122,2010-03-14,PRM,FC Barcelona,Valencia,3-0,83,3-0,,Right foot,10
123,2010-03-17,EUR,FC Barcelona,VfB Stuttgart,4-0,13,1-0,Solo run,Left foot,10
124,2010-03-17,EUR,FC Barcelona,VfB Stuttgart,4-0,60,3-0,,Left foot,10
125,2010-03-21,PRM,Real Zaragoza,FC Barcelona,2-4,5,0-1,,Head,10
126,2010-03-21,PRM,Real Zaragoza,FC Barcelona,2-4,66,0-2,Solo run,Left foot,10
127,2010-03-21,PRM,Real Zaragoza,FC Barcelona,2-4,78,0-3,,Left foot,10
128,2010-04-03,PRM,FC Barcelona,Athletic de Bilbao,4-1,67,4-0,,Left foot,10
129,2010-04-06,EUR,FC Barcelona,Arsenal,4-1,21,1-1,,Left foot,10
130,2010-04-06,EUR,FC Barcelona,Arsenal,4-1,37,2-1,,Right foot,10
131,2010-04-06,EUR,FC Barcelona,Arsenal,4-1,42,3-1,,Left foot,10
132,2010-04-06,EUR,FC Barcelona,Arsenal,4-1,88,4-1,Rebound,Left foot,10
133,2010-04-10,PRM,Real Madrid,FC Barcelona,0-2,33,0-1,,Right foot,10
134,2010-05-01,PRM,Villarreal,FC Barcelona,1-4,19,0-1,,Left foot,10
135,2010-05-01,PRM,Villarreal,FC Barcelona,1-4,88,1-4,,Left foot,10
136,2010-05-04,PRM,FC Barcelona,Tenerife,4-1,17,1-0,,Right foot,10
137,2010-05-04,PRM,FC Barcelona,Tenerife,4-1,90+3,4-1,,Right foot,10
138,2010-05-08,PRM,Sevilla,FC Barcelona,2-3,5,0-1,,Left foot,10
139,2010-05-16,PRM,FC Barcelona,Real Valladolid,4-0,62,3-0,,Right foot,10
140,2010-05-16,PRM,FC Barcelona,Real Valladolid,4-0,76,4-0,,Left foot,10
141,2010-08-21,SUP,FC Barcelona,Sevilla,4-0,24,2-0,,Left foot,10
142,2010-08-21,SUP,FC Barcelona,Sevilla,4-0,43,3-0,,Right foot,10
143,2010-08-21,SUP,FC Barcelona,Sevilla,4-0,90,4-0,,Left foot,10
144,2010-08-29,PRM,Racing Santander,FC Barcelona,0-3,3,0-1,,Right foot,10
145,2010-09-07,FRN,Argentina,Spain,4-1,10,1-0,,Left foot,10
146,2010-09-14,EUR,FC Barcelona,Panathinaikos,5-1,22,1-1,,Left foot,10
147,2010-09-14,EUR,FC Barcelona,Panathinaikos,5-1,45,3-1,,Left foot,10
148,2010-09-19,PRM,Atlético Madrid,FC Barcelona,1-2,13,0-1,,Left foot,10
149,2010-10-03,PRM,FC Barcelona,Real Mallorca,1-1,21,1-0,,Left foot,10
150,2010-10-20,EUR,FC Barcelona,FC Copenhagen,2-0,19,1-0,,Left foot,10
151,2010-10-20,EUR,FC Barcelona,FC Copenhagen,2-0,90+2,2-0,,Left foot,10
152,2010-10-23,PRM,Real Zaragoza,FC Barcelona,0-2,42,0-1,,Left foot,10
153,2010-10-23,PRM,Real Zaragoza,FC Barcelona,0-2,66,0-2,,Left foot,10
154,2010-10-30,PRM,FC Barcelona,Sevilla,5-0,4,1-0,Rebound,Left foot,10
155,2010-10-30,PRM,FC Barcelona,Sevilla,5-0,64,4-0,Solo run,Left foot,10
156,2010-11-02,EUR,FC Copenhagen,FC Barcelona,1-1,31,0-1,,Right foot,10
157,2010-11-07,PRM,Getafe,FC Barcelona,1-3,23,0-1,,Left foot,10
158,2010-11-10,CUP,FC Barcelona,AD Ceuta,5-1,68,5-1,,Left foot,10
159,2010-11-13,PRM,FC Barcelona,Villarreal,3-1,58,2-1,,Right foot,10
160,2010-11-13,PRM,FC Barcelona,Villarreal,3-1,83,3-1,,Left foot,10
161,2010-11-17,FRN,Argentina,Brazil,1-0,90+2,1-0,Solo run,Left foot,10
162,2010-11-20,PRM,UD Almería,FC Barcelona,0-8,17,0-1,,Left foot,10
163,2010-11-20,PRM,UD Almería,FC Barcelona,0-8,37,0-5,Rebound,Left foot,10
164,2010-11-20,PRM,UD Almería,FC Barcelona,0-8,67,0-7,Rebound,Left foot,10
165,2010-11-24,EUR,Panathinaikos,FC Barcelona,0-3,62,0-2,,Left foot,10
166,2010-12-04,PRM,Osasuna,FC Barcelona,0-3,65,0-2,,Left foot,10
167,2010-12-04,PRM,Osasuna,FC Barcelona,0-3,83,0-3,Penalty,Left foot,10
168,2010-12-12,PRM,FC Barcelona,Real Sociedad,5-0,47,3-0,,Left foot,10
169,2010-12-12,PRM,FC Barcelona,Real Sociedad,5-0,87,4-0,Solo run,Left foot,10
170,2011-01-08,PRM,Deportivo La Coruña,FC Barcelona,0-4,52,0-2,Free kick,Left foot,10
171,2011-01-12,CUP,FC Barcelona,Real Betis,5-0,44,1-0,,Left foot,10
172,2011-01-12,CUP,FC Barcelona,Real Betis,5-0,62,2-0,Rebound,Left foot,10
173,2011-01-12,CUP,FC Barcelona,Real Betis,5-0,73,3-0,,Left foot,10
174,2011-01-19,CUP,Real Betis,FC Barcelona,3-1,38,2-1,,Left foot,10
175,2011-01-22,PRM,FC Barcelona,Racing Santander,3-0,33,2-0,Penalty,Left foot,10
176,2011-01-26,CUP,FC Barcelona,UD Almería,5-0,9,1-0,,Left foot,10
177,2011-01-26,CUP,FC Barcelona,UD Almería,5-0,16,3-0,,Left foot,10
178,2011-01-29,PRM,Hercules Alicante,FC Barcelona,0-3,87,0-2,,Left foot,10
179,2011-01-29,PRM,Hercules Alicante,FC Barcelona,0-3,89,0-3,,Left foot,10
180,2011-02-05,PRM,FC Barcelona,Atlético Madrid,3-0,17,1-0,,Left foot,10
181,2011-02-05,PRM,FC Barcelona,Atlético Madrid,3-0,28,2-0,,Left foot,10
182,2011-02-05,PRM,FC Barcelona,Atlético Madrid,3-0,79,3-0,Rebound,Left foot,10
183,2011-02-09,FRN,Argentina,Portugal,2-1,90,2-1,Penalty,Left foot,10
184,2011-02-20,PRM,FC Barcelona,Athletic de Bilbao,2-1,78,2-1,,Right foot,10
185,2011-02-26,PRM,Real Mallorca,FC Barcelona,0-3,38,0-1,,Head,10
186,2011-03-02,PRM,Valencia,FC Barcelona,0-1,77,0-1,,Left foot,10
187,2011-03-08,EUR,FC Barcelona,Arsenal,3-1,45+3,1-0,,Left foot,10
188,2011-03-08,EUR,FC Barcelona,Arsenal,3-1,71,3-1,Penalty,Left foot,10
189,2011-04-09,PRM,FC Barcelona,UD Almería,3-1,53,1-1,Penalty,Left foot,10
190,2011-04-09,PRM,FC Barcelona,UD Almería,3-1,90+2,3-1,,Left foot,10
191,2011-04-12,EUR,Shakhtar Donetsk,FC Barcelona,0-1,43,0-1,,Left foot,10
192,2011-04-16,PRM,Real Madrid,FC Barcelona,1-1,53,0-1,Penalty,Left foot,10
193,2011-04-23,PRM,FC Barcelona,Osasuna,2-0,87,2-0,,Right foot,10
194,2011-04-27,EUR,Real Madrid,FC Barcelona,0-2,76,0-1,,Left foot,10
195,2011-04-27,EUR,Real Madrid,FC Barcelona,0-2,87,0-2,Solo run,Right foot,10
196,2011-05-28,EUR,FC Barcelona,Manchester United,3-1,54,2-1,,Left foot,10
