date,competition,home,away,result,minute,score,what,how,video_start,video_end
2014-02-22,PRM,Real Sociedad,FC Barcelona,3-1,36,1-1,,Left foot
2014-02-18,EUR,Manchester City,FC Barcelona,0-2,54,0-1,Penalty,Left foot
2014-02-15,PRM,FC Barcelona,Rayo Vallecano,6-0,36,2-0,,Left foot
2014-02-15,PRM,FC Barcelona,Rayo Vallecano,6-0,68,5-0,,Left foot
2014-02-12,CUP,Real Sociedad,FC Barcelona,1-1,27,0-1,Solo run,Left foot
2014-02-09,PRM,Sevilla,FC Barcelona,1-4,56,1-3,,Left foot
2014-02-09,PRM,Sevilla,FC Barcelona,1-4,44,1-2,,Left foot
2014-02-01,PRM,FC Barcelona,Valencia,2-3,54,2-2,Penalty,Left foot
2014-01-16,CUP,Getafe,FC Barcelona,0-2,44,0-1,,Right foot
2014-01-16,CUP,Getafe,FC Barcelona,0-2,63,0-2,,Left foot
2014-01-08,CUP,FC Barcelona,Getafe,4-0,90,3-0,,Left foot
2014-01-08,CUP,FC Barcelona,Getafe,4-0,90+3,4-0,,Left foot
2013-11-06,EUR,FC Barcelona,AC Milan,3-1,83,3-1,,Left foot
2013-11-06,EUR,FC Barcelona,AC Milan,3-1,30,1-0,Penalty,Left foot
2013-10-22,EUR,AC Milan,FC Barcelona,1-1,23,1-1,,Left foot
2013-09-28,PRM,UD Almería,FC Barcelona,0-2,21,0-1,,Left foot
2013-09-24,PRM,FC Barcelona,Real Sociedad,4-1,8,2-0,,Head
2013-09-18,EUR,FC Barcelona,Ajax,4-0,55,2-0,,Left foot
2013-09-18,EUR,FC Barcelona,Ajax,4-0,22,1-0,Free kick,Left foot
2013-09-18,EUR,FC Barcelona,Ajax,4-0,75,4-0,,Left foot
2013-09-14,PRM,FC Barcelona,Sevilla,3-2,75,2-0,,Left foot
2013-09-11,WCQ,Paraguay,Argentina,2-5,12,0-1,Penalty,Left foot
2013-09-11,WCQ,Paraguay,Argentina,2-5,52,1-4,Penalty,Left foot
2013-09-01,PRM,Valencia,FC Barcelona,2-3,39,0-2,,Right foot
2013-09-01,PRM,Valencia,FC Barcelona,2-3,41,0-3,,Left foot
2013-09-01,PRM,Valencia,FC Barcelona,2-3,11,0-1,,Left foot
2013-08-18,PRM,FC Barcelona,Levante,7-0,12,2-0,,Left foot
2013-08-18,PRM,FC Barcelona,Levante,7-0,42,5-0,Penalty,Left foot
2013-06-15,FRN,Guatemala,Argentina,0-4,15,0-1,,Left foot
2013-06-15,FRN,Guatemala,Argentina,0-4,40,0-3,Penalty,Left foot
2013-06-15,FRN,Guatemala,Argentina,0-4,49,0-4,,Left foot
