date,competition,home,away,home_goals,away_goals,lineup,minutes,goals,assists,cards,minutes_acum,goals_acum,assists_acum
2004-10-16,PRM,Espanyol,FC Barcelona,0,1,SU,7,0,0,0,7,0,0
2004-10-24,PRM,FC Barcelona,Osasuna,3,0,SU,18,0,0,0,25,0,0
2004-10-27,CUP,Gramenet,FC Barcelona,1,0,ST,72,0,0,0,97,0,0
2004-12-04,PRM,FC Barcelona,Málaga,4,0,SU,8,0,0,0,105,0,0
2004-12-07,EUR,Shakhtar Donetsk,FC Barcelona,2,0,ST,90,0,0,0,195,0,0
2004-12-11,PRM,Albacete,FC Barcelona,1,2,SU,1,0,0,0,196,0,0
2004-12-21,PRM,FC Barcelona,Levante,2,1,SU,33,0,0,0,229,0,0
2005-04-17,PRM,FC Barcelona,Getafe,2,0,SU,5,0,0,0,234,0,0
2005-05-01,PRM,FC Barcelona,Albacete,2,0,SU,3,1,0,0,237,1,0
2005-08-17,FRN,Hungary,Argentina,1,2,SU,2,0,0,1,239,1,0
2005-09-03,WCQ,Paraguay,Argentina,1,0,SU,10,0,0,0,249,1,0
2005-09-14,EUR,Werder Bremen,FC Barcelona,0,2,SU,25,0,0,0,274,1,0
2005-09-27,EUR,FC Barcelona,Udinese,4,1,ST,69,0,0,0,343,1,0
2005-10-01,PRM,FC Barcelona,Real Zaragoza,2,2,SU,25,0,0,0,368,1,0
2005-10-10,WCQ,Argentina,Peru,2,0,ST,90,0,0,0,458,1,0
2005-10-13,WCQ,Uruguay,Argentina,1,0,SU,11,0,0,0,469,1,0
2005-10-18,EUR,Panathinaikos,FC Barcelona,0,0,SU,24,0,0,0,493,1,0
2005-10-22,PRM,FC Barcelona,Osasuna,3,0,ST,90,0,0,1,583,1,0
2005-10-26,PRM,FC Barcelona,Málaga,2,0,SU,29,0,0,0,612,1,0
2005-11-02,EUR,FC Barcelona,Panathinaikos,5,0,ST,90,1,1,0,702,2,1
2005-11-06,PRM,Getafe,FC Barcelona,1,3,SU,22,0,0,0,724,2,1
2005-11-16,FRN,Qatar,Argentina,0,3,ST,80,0,1,0,804,2,2
2005-11-19,PRM,Real Madrid,FC Barcelona,0,3,ST,69,0,1,0,873,2,3
2005-11-27,PRM,FC Barcelona,Racing Santander,4,1,ST,66,1,0,0,939,3,3
2005-12-04,PRM,Villarreal,FC Barcelona,0,2,ST,80,0,0,0,1019,3,3
2005-12-11,PRM,FC Barcelona,Sevilla,2,1,ST,62,0,0,1,1081,3,3
2005-12-17,PRM,Cádiz,FC Barcelona,1,3,ST,81,0,1,0,1162,3,4
2005-12-20,PRM,FC Barcelona,Celta de Vigo,2,0,ST,66,0,0,0,1228,3,4
2006-01-07,PRM,Espanyol,FC Barcelona,1,2,ST,77,0,0,0,1305,3,4
2006-01-15,PRM,FC Barcelona,Athletic de Bilbao,2,1,ST,82,1,0,0,1387,4,4
2006-01-22,PRM,FC Barcelona,Alavés,2,0,SU,19,1,0,0,1406,5,4
2006-01-26,CUP,Real Zaragoza,FC Barcelona,4,2,ST,90,0,0,0,1496,5,4
2006-01-29,PRM,Real Mallorca,FC Barcelona,0,3,SU,19,2,0,0,1515,7,4
2006-02-01,CUP,FC Barcelona,Real Zaragoza,2,1,ST,90,1,0,0,1605,8,4
2006-02-05,PRM,FC Barcelona,Atlético Madrid,1,3,ST,45,0,0,0,1650,8,4
2006-02-18,PRM,FC Barcelona,Real Betis,5,1,SU,14,1,0,0,1664,9,4
2006-02-22,EUR,Chelsea,FC Barcelona,1,2,ST,90,0,0,0,1754,9,4
2006-02-25,PRM,Real Zaragoza,FC Barcelona,0,2,ST,69,0,0,0,1823,9,4
2006-03-01,FRN,Croatia,Argentina,3,2,ST,90,1,1,0,1913,10,5
2006-03-07,EUR,FC Barcelona,Chelsea,1,1,ST,24,0,0,0,1937,10,5
2006-05-30,FRN,Argentina,Angola,2,0,SU,27,0,0,0,1964,10,5
2006-06-16,WCP,Argentina,Serbia and Montenegro,6,0,SU,16,1,1,0,1980,11,6
2006-06-21,WCP,Netherlands,Argentina,0,0,ST,69,0,0,0,2049,11,6
2006-06-24,WCP,Argentina,Mexico,2,1,SU,37,0,0,0,2086,11,6
2006-08-17,SUP,Espanyol,FC Barcelona,0,1,SU,31,0,0,0,2117,11,6
2006-08-20,SUP,FC Barcelona,Espanyol,3,0,ST,90,0,0,0,2207,11,6
2006-08-25,IUP,FC Barcelona,Sevilla,0,3,ST,90,0,0,0,2297,11,6
2006-08-28,PRM,Celta de Vigo,FC Barcelona,2,3,ST,90,1,1,0,2387,12,7
2006-09-03,FRN,Brazil,Argentina,3,0,ST,90,0,0,0,2477,12,7
2006-09-09,PRM,FC Barcelona,Osasuna,3,0,ST,90,1,0,0,2567,13,7
2006-09-17,PRM,Racing Santander,FC Barcelona,0,3,ST,64,0,0,0,2631,13,7
2006-09-24,PRM,FC Barcelona,Valencia,1,1,ST,84,0,0,0,2715,13,7
2006-09-27,EUR,Werder Bremen,FC Barcelona,1,1,SU,26,1,0,0,2741,14,7
2006-09-30,PRM,Athletic de Bilbao,FC Barcelona,1,3,ST,90,0,0,1,2831,14,7
2006-10-11,FRN,Spain,Argentina,2,1,ST,61,0,0,0,2892,14,7
2006-10-15,PRM,FC Barcelona,Sevilla,3,1,ST,90,1,0,0,2982,15,7
2006-10-18,EUR,Chelsea,FC Barcelona,1,0,ST,90,0,0,0,3072,15,7
2006-10-22,PRM,Real Madrid,FC Barcelona,2,0,ST,90,0,0,0,3162,15,7
2006-10-31,EUR,FC Barcelona,Chelsea,2,2,ST,90,0,0,1,3252,15,7
2006-11-04,PRM,Deportivo La Coruña,FC Barcelona,1,1,ST,90,0,0,0,3342,15,7
2006-11-12,PRM,FC Barcelona,Real Zaragoza,3,1,ST,22,0,0,0,3364,15,7
2007-02-11,PRM,FC Barcelona,Racing Santander,2,0,SU,23,0,0,0,3387,15,7
2007-02-18,PRM,Valencia,FC Barcelona,2,1,SU,35,0,0,0,3422,15,7
2007-02-21,EUR,FC Barcelona,Liverpool,1,2,ST,90,0,0,0,3512,15,7
2007-02-25,PRM,FC Barcelona,Athletic de Bilbao,3,0,SU,24,0,0,0,3536,15,7
2007-02-28,CUP,Real Zaragoza,FC Barcelona,1,2,ST,90,0,0,0,3626,15,7
2007-03-03,PRM,Sevilla,FC Barcelona,2,1,ST,70,0,0,0,3696,15,7
2007-03-06,EUR,Liverpool,FC Barcelona,0,1,ST,90,0,0,0,3786,15,7
2007-03-10,PRM,FC Barcelona,Real Madrid,3,3,ST,90,3,0,0,3876,18,7
2007-03-17,PRM,Recreativo Huelva,FC Barcelona,0,4,ST,90,1,0,0,3966,19,7
2007-03-31,PRM,FC Barcelona,Deportivo La Coruña,2,1,ST,84,1,0,0,4050,20,7
2007-04-07,PRM,Real Zaragoza,FC Barcelona,1,0,ST,90,0,0,1,4140,20,7
2007-04-15,PRM,FC Barcelona,Real Mallorca,1,0,ST,90,0,0,0,4230,20,7
2007-04-18,CUP,FC Barcelona,Getafe,5,2,ST,76,2,1,0,4306,22,8
2007-04-22,PRM,Villarreal,FC Barcelona,2,0,ST,90,0,0,0,4396,22,8
2007-04-29,PRM,FC Barcelona,Levante,1,0,ST,90,0,0,0,4486,22,8
2007-05-05,PRM,Real Sociedad,FC Barcelona,0,2,ST,89,0,0,0,4575,22,8
2007-05-13,PRM,FC Barcelona,Real Betis,1,1,ST,74,0,0,0,4649,22,8
2007-05-20,PRM,Atlético Madrid,FC Barcelona,0,6,ST,90,2,0,0,4739,24,8
2007-05-26,PRM,FC Barcelona,Getafe,1,0,ST,89,0,0,0,4828,24,8
2007-06-02,FRN,Switzerland,Argentina,1,1,ST,88,0,1,0,4916,24,9
2007-06-05,FRN,Argentina,Algeria,4,3,ST,90,2,0,0,5006,26,9
2007-06-09,PRM,FC Barcelona,Espanyol,2,2,ST,90,2,0,0,5096,28,9
2007-06-17,PRM,Gimnàstic,FC Barcelona,1,5,ST,81,2,1,0,5177,30,10
2007-06-29,CPA,Argentina,United States,4,1,ST,78,0,1,0,5255,30,11
2007-07-03,CPA,Argentina,Colombia,4,2,ST,83,0,0,0,5338,30,11
2007-07-06,CPA,Argentina,Paraguay,1,0,SU,24,0,0,0,5362,30,11
2007-07-09,CPA,Argentina,Peru,4,0,ST,90,1,0,0,5452,31,11
2007-07-12,CPA,Mexico,Argentina,0,3,ST,90,1,0,1,5542,32,11
2007-07-15,CPA,Brazil,Argentina,3,0,ST,90,0,0,0,5632,32,11
2007-08-22,FRN,Norway,Argentina,2,1,ST,90,0,0,0,5722,32,11
2007-08-26,PRM,Racing Santander,FC Barcelona,0,0,ST,61,0,0,0,5783,32,11
2007-09-02,PRM,FC Barcelona,Athletic de Bilbao,3,1,ST,90,0,0,0,5873,32,11
2007-09-11,FRN,Australia,Argentina,0,1,ST,89,0,1,0,5962,32,12
2007-09-19,EUR,FC Barcelona,Olympique Lyon,3,0,ST,87,1,0,0,6049,33,12
2007-09-22,PRM,FC Barcelona,Sevilla,2,1,ST,88,2,0,0,6137,35,12
2007-09-26,PRM,FC Barcelona,Real Zaragoza,4,1,ST,82,2,0,0,6219,37,12
2007-09-29,PRM,Levante,FC Barcelona,1,4,ST,51,1,1,0,6270,38,13
2007-10-02,EUR,VfB Stuttgart,FC Barcelona,0,2,ST,90,1,0,1,6360,39,13
2007-10-07,PRM,FC Barcelona,Atlético Madrid,3,0,ST,90,1,0,0,6450,40,13
2007-10-13,WCQ,Argentina,Chile,2,0,ST,83,0,0,0,6533,40,13
2007-10-17,WCQ,Venezuela,Argentina,0,2,ST,90,1,0,0,6623,41,13
2007-10-20,PRM,Villarreal,FC Barcelona,3,1,ST,90,0,1,0,6713,41,14
2007-10-23,EUR,Glasgow Rangers,FC Barcelona,0,0,ST,90,0,0,0,6803,41,14
2007-10-28,PRM,FC Barcelona,UD Almería,2,0,SU,16,1,0,0,6819,42,14
2007-11-01,PRM,Real Valladolid,FC Barcelona,1,1,ST,90,0,0,0,6909,42,14
2007-11-04,PRM,FC Barcelona,Real Betis,3,0,ST,90,0,0,0,6999,42,14
2007-11-07,EUR,FC Barcelona,Glasgow Rangers,2,0,ST,90,1,1,0,7089,43,15
2007-11-10,PRM,Getafe,FC Barcelona,2,0,ST,71,0,0,0,7160,43,15
2007-11-17,WCQ,Argentina,Bolivia,3,0,ST,90,0,1,0,7250,43,16
2007-11-21,WCQ,Colombia,Argentina,2,1,ST,90,1,0,0,7340,44,16
2007-11-24,PRM,FC Barcelona,Recreativo Huelva,3,0,ST,90,1,0,0,7430,45,16
2007-11-27,EUR,Olympique Lyon,FC Barcelona,2,2,ST,90,1,0,1,7520,46,16
2007-12-01,PRM,Espanyol,FC Barcelona,1,1,ST,90,0,1,0,7610,46,17
2007-12-09,PRM,FC Barcelona,Deportivo La Coruña,2,1,ST,90,0,0,0,7700,46,17
2007-12-15,PRM,Valencia,FC Barcelona,0,3,ST,44,0,2,0,7744,46,19
2008-01-20,PRM,FC Barcelona,Racing Santander,1,0,SU,25,0,0,0,7769,46,19
2008-01-24,CUP,Villarreal,FC Barcelona,0,0,SU,45,0,0,1,7814,46,19
2008-01-27,PRM,Athletic de Bilbao,FC Barcelona,1,1,ST,90,0,0,0,7904,46,19
2008-01-31,CUP,FC Barcelona,Villarreal,1,0,ST,90,0,0,0,7994,46,19
2008-02-03,PRM,FC Barcelona,Osasuna,1,0,ST,67,0,0,0,8061,46,19
2008-02-09,PRM,Sevilla,FC Barcelona,1,1,ST,90,0,1,1,8151,46,20
2008-02-16,PRM,Real Zaragoza,FC Barcelona,1,2,ST,79,0,0,0,8230,46,20
2008-02-20,EUR,Celtic,FC Barcelona,2,3,ST,90,2,0,0,8320,48,20
2008-02-24,PRM,FC Barcelona,Levante,5,1,ST,80,1,2,0,8400,49,22
2008-02-27,CUP,FC Barcelona,Valencia,1,1,ST,90,0,0,1,8490,49,22
2008-03-01,PRM,Atlético Madrid,FC Barcelona,4,2,SU,34,0,0,0,8524,49,22
2008-03-04,EUR,FC Barcelona,Celtic,1,0,ST,37,0,0,0,8561,49,22
2008-04-12,PRM,Recreativo Huelva,FC Barcelona,2,2,SU,26,0,0,0,8587,49,22
2008-04-19,PRM,FC Barcelona,Espanyol,0,0,SU,45,0,0,1,8632,49,22
2008-04-23,EUR,FC Barcelona,Manchester United,0,0,ST,61,0,0,0,8693,49,22
2008-04-29,EUR,Manchester United,FC Barcelona,1,0,ST,90,0,0,0,8783,49,22
2008-05-04,PRM,FC Barcelona,Valencia,6,0,ST,90,1,1,0,8873,50,23
2008-05-07,PRM,Real Madrid,FC Barcelona,4,1,ST,90,0,1,0,8963,50,24
2008-05-11,PRM,FC Barcelona,Real Mallorca,2,3,ST,61,0,0,0,9024,50,24
2008-05-17,PRM,Real Murcia,FC Barcelona,3,5,ST,90,0,2,0,9114,50,26
2008-06-05,FRN,Mexico,Argentina,1,4,ST,84,1,1,1,9198,51,27
2008-06-09,FRN,United States,Argentina,0,0,ST,45,0,0,0,9243,51,27
2008-06-15,WCQ,Argentina,Ecuador,1,1,ST,90,0,0,0,9333,51,27
2008-06-19,WCQ,Brazil,Argentina,0,0,ST,89,0,0,0,9422,51,27
2008-08-31,PRM,Numancia,FC Barcelona,1,0,ST,90,0,0,0,9512,51,27
2008-09-06,WCQ,Argentina,Paraguay,1,1,ST,90,0,1,0,9602,51,28
2008-09-11,WCQ,Peru,Argentina,1,1,ST,90,0,0,0,9692,51,28
2008-09-13,PRM,FC Barcelona,Racing Santander,1,1,SU,32,1,0,0,9724,52,28
2008-09-16,EUR,FC Barcelona,Sporting Lisbon,3,1,ST,90,0,0,0,9814,52,28
2008-09-21,PRM,Sporting Gijón,FC Barcelona,1,6,ST,90,2,1,0,9904,54,29
2008-09-24,PRM,FC Barcelona,Real Betis,3,2,ST,90,0,2,0,9994,54,31
2008-09-27,PRM,Espanyol,FC Barcelona,1,2,ST,90,1,0,0,10084,55,31
2008-10-01,EUR,Shakhtar Donetsk,FC Barcelona,1,2,SU,31,2,0,0,10115,57,31
2008-10-04,PRM,FC Barcelona,Atlético Madrid,6,1,ST,69,1,0,0,10184,58,31
2008-10-11,WCQ,Argentina,Uruguay,2,1,ST,87,1,0,1,10271,59,31
2008-10-16,WCQ,Chile,Argentina,1,0,ST,90,0,0,0,10361,59,31
2008-10-22,EUR,FC Basel,FC Barcelona,0,5,ST,90,1,2,0,10451,60,33
2008-10-25,PRM,FC Barcelona,UD Almería,5,0,ST,90,0,2,0,10541,60,35
2008-11-01,PRM,Málaga,FC Barcelona,1,4,ST,78,1,0,0,10619,61,35
2008-11-04,EUR,FC Barcelona,FC Basel,1,1,SU,31,1,0,0,10650,62,35
2008-11-08,PRM,FC Barcelona,Real Valladolid,6,0,ST,90,0,1,0,10740,62,36
2008-11-12,CUP,FC Barcelona,Benidorm,1,0,ST,87,1,0,0,10827,63,36
2008-11-16,PRM,Recreativo Huelva,FC Barcelona,0,2,ST,90,1,0,0,10917,64,36
2008-11-26,EUR,Sporting Lisbon,FC Barcelona,2,5,ST,56,1,1,0,10973,65,37
2008-11-29,PRM,Sevilla,FC Barcelona,0,3,ST,90,2,0,0,11063,67,37
2008-12-06,PRM,FC Barcelona,Valencia,4,0,ST,81,0,0,0,11144,67,37
2008-12-13,PRM,FC Barcelona,Real Madrid,2,0,ST,90,1,0,1,11234,68,37
2008-12-21,PRM,Villarreal,FC Barcelona,1,2,ST,90,0,0,0,11324,68,37
2009-01-06,CUP,Atlético Madrid,FC Barcelona,1,3,ST,80,3,0,0,11404,71,37
2009-01-11,PRM,Osasuna,FC Barcelona,2,3,ST,90,1,1,0,11494,72,38
2009-01-14,CUP,FC Barcelona,Atlético Madrid,2,1,SU,19,0,0,0,11513,72,38
2009-01-17,PRM,FC Barcelona,Deportivo La Coruña,5,0,ST,90,1,0,0,11603,73,38
2009-01-21,CUP,Espanyol,FC Barcelona,0,0,SU,16,0,0,0,11619,73,38
2009-01-24,PRM,FC Barcelona,Numancia,4,1,ST,90,2,1,0,11709,75,39
2009-01-29,CUP,FC Barcelona,Espanyol,3,2,ST,90,0,0,0,11799,75,39
2009-02-01,PRM,Racing Santander,FC Barcelona,1,2,SU,32,2,0,0,11831,77,39
2009-02-05,CUP,FC Barcelona,Real Mallorca,2,0,SU,36,0,0,0,11867,77,39
2009-02-08,PRM,FC Barcelona,Sporting Gijón,3,1,ST,90,0,2,0,11957,77,41
2009-02-11,FRN,France,Argentina,0,2,ST,90,1,0,0,12047,78,41
2009-02-14,PRM,Real Betis,FC Barcelona,2,2,SU,34,0,0,0,12081,78,41
2009-02-21,PRM,FC Barcelona,Espanyol,1,2,ST,90,0,0,0,12171,78,41
2009-02-24,EUR,Olympique Lyon,FC Barcelona,1,1,ST,90,0,0,0,12261,78,41
2009-03-01,PRM,Atlético Madrid,FC Barcelona,4,3,ST,90,1,0,1,12351,79,41
2009-03-04,CUP,Real Mallorca,FC Barcelona,1,1,SU,33,1,0,0,12384,80,41
2009-03-07,PRM,FC Barcelona,Athletic de Bilbao,2,0,ST,90,1,0,0,12474,81,41
2009-03-11,EUR,FC Barcelona,Olympique Lyon,5,2,ST,90,1,0,0,12564,82,41
2009-03-15,PRM,UD Almería,FC Barcelona,0,2,ST,90,0,0,0,12654,82,41
2009-03-22,PRM,FC Barcelona,Málaga,6,0,ST,90,1,0,0,12744,83,41
2009-03-28,WCQ,Argentina,Venezuela,4,0,ST,90,1,1,0,12834,84,42
2009-04-01,WCQ,Bolivia,Argentina,6,1,ST,90,0,0,0,12924,84,42
2009-04-04,PRM,Real Valladolid,FC Barcelona,0,1,SU,32,0,0,0,12956,84,42
2009-04-08,EUR,FC Barcelona,Bayern München,4,0,ST,90,2,1,1,13046,86,43
2009-04-11,PRM,FC Barcelona,Recreativo Huelva,2,0,ST,90,0,0,0,13136,86,43
2009-04-14,EUR,Bayern München,FC Barcelona,1,1,ST,90,0,0,0,13226,86,43
2009-04-18,PRM,Getafe,FC Barcelona,0,1,ST,90,1,0,0,13316,87,43
2009-04-25,PRM,Valencia,FC Barcelona,2,2,ST,90,1,0,0,13406,88,43
2009-04-28,EUR,FC Barcelona,Chelsea,0,0,ST,90,0,0,0,13496,88,43
2009-05-02,PRM,Real Madrid,FC Barcelona,2,6,ST,90,2,1,0,13586,90,44
2009-05-06,EUR,Chelsea,FC Barcelona,1,1,ST,90,0,1,0,13676,90,45
2009-05-10,PRM,FC Barcelona,Villarreal,3,3,ST,89,0,0,0,13765,90,45
2009-05-13,CUP,Athletic de Bilbao,FC Barcelona,1,4,ST,90,1,1,1,13855,91,46
2009-05-27,EUR,FC Barcelona,Manchester United,2,0,ST,90,1,0,0,13945,92,46
2009-06-06,WCQ,Argentina,Colombia,1,0,ST,90,0,0,0,14035,92,46
2009-06-10,WCQ,Ecuador,Argentina,2,0,ST,90,0,0,0,14125,92,46
2009-08-23,SUP,FC Barcelona,Athletic de Bilbao,3,0,ST,90,2,0,0,14215,94,46
2009-08-28,IUP,FC Barcelona,Shakhtar Donetsk,1,0,ST,120,0,1,1,14335,94,47
2009-09-06,WCQ,Argentina,Brazil,1,3,ST,90,0,0,0,14425,94,47
2009-09-10,WCQ,Paraguay,Argentina,1,0,ST,90,0,0,0,14515,94,47
2009-09-12,PRM,Getafe,FC Barcelona,0,2,SU,33,1,0,0,14548,95,47
2009-09-16,EUR,Internazionale,FC Barcelona,0,0,ST,90,0,0,0,14638,95,47
2009-09-19,PRM,FC Barcelona,Atlético Madrid,5,2,ST,90,2,1,0,14728,97,48
2009-09-22,PRM,Racing Santander,FC Barcelona,1,4,ST,63,2,1,0,14791,99,49
2009-09-26,PRM,Málaga,FC Barcelona,0,2,ST,90,0,1,0,14881,99,50
2009-09-29,EUR,FC Barcelona,Dynamo Kyiv,2,0,ST,90,1,0,0,14971,100,50
2009-10-03,PRM,FC Barcelona,UD Almería,1,0,ST,90,0,0,0,15061,100,50
2009-10-11,WCQ,Argentina,Peru,2,1,ST,90,0,0,0,15151,100,50
2009-10-15,WCQ,Uruguay,Argentina,0,1,ST,86,0,0,0,15237,100,50
2009-10-17,PRM,Valencia,FC Barcelona,0,0,ST,90,0,0,0,15327,100,50
2009-10-20,EUR,FC Barcelona,Rubin Kazan,1,2,ST,90,0,0,0,15417,100,50
2009-10-25,PRM,FC Barcelona,Real Zaragoza,6,1,ST,90,1,1,0,15507,101,51
2009-10-31,PRM,Osasuna,FC Barcelona,1,1,ST,90,0,0,0,15597,101,51
2009-11-04,EUR,Rubin Kazan,FC Barcelona,0,0,ST,90,0,0,0,15687,101,51
2009-11-07,PRM,FC Barcelona,Real Mallorca,4,2,SU,40,1,0,0,15727,102,51
2009-11-10,CUP,FC Barcelona,Cultural Leonesa,5,0,SU,30,1,0,0,15757,103,51
2009-11-14,FRN,Spain,Argentina,2,1,ST,83,1,0,0,15840,104,51
2009-11-21,PRM,Athletic de Bilbao,FC Barcelona,1,1,ST,75,0,0,0,15915,104,51
2009-11-29,PRM,FC Barcelona,Real Madrid,1,0,ST,90,0,0,0,16005,104,51
2009-12-02,PRM,Xerez,FC Barcelona,0,2,SU,36,0,1,0,16041,104,52
2009-12-05,PRM,Deportivo La Coruña,FC Barcelona,1,3,ST,90,2,0,0,16131,106,52
2009-12-09,EUR,Dynamo Kyiv,FC Barcelona,1,2,ST,90,1,0,0,16221,107,52
2009-12-16,WCT,Atlante,FC Barcelona,1,3,SU,38,1,0,0,16259,108,52
2009-12-19,WCT,Estudiantes La Plata,FC Barcelona,1,2,ST,120,1,0,1,16379,109,52
2010-01-05,CUP,FC Barcelona,Sevilla,1,2,ST,90,0,0,0,16469,109,52
2010-01-10,PRM,Tenerife,FC Barcelona,0,5,ST,90,3,1,0,16559,112,53
2010-01-13,CUP,Sevilla,FC Barcelona,0,1,ST,90,0,0,1,16649,112,53
2010-01-16,PRM,FC Barcelona,Sevilla,4,0,ST,90,2,0,0,16739,114,53
2010-01-23,PRM,Real Valladolid,FC Barcelona,0,3,ST,90,1,1,0,16829,115,54
2010-01-30,PRM,Sporting Gijón,FC Barcelona,0,1,ST,90,0,0,1,16919,115,54
2010-02-06,PRM,FC Barcelona,Getafe,2,1,ST,90,1,1,0,17009,116,55
2010-02-14,PRM,Atlético Madrid,FC Barcelona,2,1,ST,90,0,0,0,17099,116,55
2010-02-20,PRM,FC Barcelona,Racing Santander,4,0,ST,90,0,1,0,17189,116,56
2010-02-23,EUR,VfB Stuttgart,FC Barcelona,1,1,ST,90,0,0,0,17279,116,56
2010-02-27,PRM,FC Barcelona,Málaga,2,1,ST,90,1,0,0,17369,117,56
2010-03-03,FRN,Germany,Argentina,0,1,ST,90,0,0,1,17459,117,56
2010-03-06,PRM,UD Almería,FC Barcelona,2,2,ST,90,2,0,0,17549,119,56
2010-03-14,PRM,FC Barcelona,Valencia,3,0,ST,87,3,0,0,17636,122,56
2010-03-17,EUR,FC Barcelona,VfB Stuttgart,4,0,ST,90,2,0,0,17726,124,56
2010-03-21,PRM,Real Zaragoza,FC Barcelona,2,4,ST,90,3,0,0,17816,127,56
2010-03-24,PRM,FC Barcelona,Osasuna,2,0,ST,90,0,0,1,17906,127,56
2010-03-27,PRM,Real Mallorca,FC Barcelona,0,1,SU,40,0,0,0,17946,127,56
2010-03-31,EUR,Arsenal,FC Barcelona,2,2,ST,86,0,0,0,18032,127,56
2010-04-03,PRM,FC Barcelona,Athletic de Bilbao,4,1,ST,90,1,0,0,18122,128,56
2010-04-06,EUR,FC Barcelona,Arsenal,4,1,ST,90,4,0,0,18212,132,56
2010-04-10,PRM,Real Madrid,FC Barcelona,0,2,ST,90,1,0,1,18302,133,56
2010-04-14,PRM,FC Barcelona,Deportivo La Coruña,3,0,ST,90,0,0,0,18392,133,56
2010-04-17,PRM,Espanyol,FC Barcelona,0,0,ST,90,0,0,0,18482,133,56
2010-04-20,EUR,Internazionale,FC Barcelona,3,1,ST,90,0,0,0,18572,133,56
2010-04-24,PRM,FC Barcelona,Xerez,3,1,SU,39,0,0,0,18611,133,56
2010-04-28,EUR,FC Barcelona,Internazionale,1,0,ST,90,0,0,0,18701,133,56
2010-05-01,PRM,Villarreal,FC Barcelona,1,4,ST,89,2,0,0,18790,135,56
2010-05-04,PRM,FC Barcelona,Tenerife,4,1,ST,90,2,0,0,18880,137,56
2010-05-08,PRM,Sevilla,FC Barcelona,2,3,ST,90,1,0,0,18970,138,56
2010-05-16,PRM,FC Barcelona,Real Valladolid,4,0,ST,90,2,1,0,19060,140,57
2010-06-12,WCP,Argentina,Nigeria,1,0,ST,90,0,0,0,19150,140,57
2010-06-17,WCP,Argentina,Korea Republic,4,1,ST,90,0,0,0,19240,140,57
2010-06-22,WCP,Greece,Argentina,0,2,ST,90,0,0,0,19330,140,57
2010-06-27,WCP,Argentina,Mexico,3,1,ST,90,0,1,0,19420,140,58
2010-07-03,WCP,Argentina,Germany,0,4,ST,90,0,0,0,19510,140,58
2010-08-11,FRN,Republic of Ireland,Argentina,0,1,ST,57,0,0,0,19567,140,58
2010-08-14,SUP,Sevilla,FC Barcelona,3,1,SU,38,0,0,0,19605,140,58
2010-08-21,SUP,FC Barcelona,Sevilla,4,0,ST,90,3,0,0,19695,143,58
2010-08-29,PRM,Racing Santander,FC Barcelona,0,3,ST,90,1,0,0,19785,144,58
2010-09-07,FRN,Argentina,Spain,4,1,ST,89,1,0,0,19874,145,58
2010-09-11,PRM,FC Barcelona,Hercules Alicante,0,2,ST,90,0,0,0,19964,145,58
2010-09-14,EUR,FC Barcelona,Panathinaikos,5,1,ST,90,2,1,0,20054,147,59
2010-09-19,PRM,Atlético Madrid,FC Barcelona,1,2,ST,90,1,1,0,20144,148,60
2010-09-29,EUR,Rubin Kazan,FC Barcelona,1,1,SU,30,0,0,0,20174,148,60
2010-10-03,PRM,FC Barcelona,Real Mallorca,1,1,ST,90,1,0,0,20264,149,60
2010-10-08,FRN,Japan,Argentina,1,0,ST,90,0,0,0,20354,149,60
2010-10-16,PRM,FC Barcelona,Valencia,2,1,ST,90,0,0,0,20444,149,60
2010-10-20,EUR,FC Barcelona,FC Copenhagen,2,0,ST,90,2,0,0,20534,151,60
2010-10-23,PRM,Real Zaragoza,FC Barcelona,0,2,ST,90,2,0,0,20624,153,60
